OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS
11426,2008,CA,NPS,YNP,49.6251297,321305.17055582,3309.61389376528,00001443,FORESTA RX,3,2008/06/05 00:00:00+00,2008/06/12 00:00:00+00,49.62493333,3,3,1
11427,2008,CA,NPS,YNP,43.75154114,283524.58687108,2728.55096398605,00003981,YV-15,3,2008/09/17 00:00:00+00,2008/09/18 00:00:00+00,43.75136707,3,2,1
11428,2008,CA,NPS,YNP,17.62260628,114170.888937285,2490.93927217413,00004155,YV-04,3,2008/09/18 00:00:00+00,2009/09/19 00:00:00+00,17.62253438,3,3,1
11429,2008,CA,NPS,YNP,616.12335205,3975486.8409164,9627.35100855944,00000764,WAWONA NW,3,2008/10/14 00:00:00+00,2008/11/01 00:00:00+00,616.12086818,3,2,1
11430,2008,CA,NPS,YNP,132.246521,851935.91215896,8300.37556089172,00004340,MARIPOSA GROVE,3,2008/09/30 00:00:00+00,2008/10/04 00:00:00+00,132.24599539,3,1,1
11431,2008,CA,NPS,WNP,668.51190186,4697440.40166903,10148.5070873625,080041,DOG,3,2008/10/15 00:00:00+00,2008/10/31 00:00:00+00,672,2,2,1
11432,2008,CA,NPS,RWP,74.3874054,532091.05294837,4103.94898992975,106,AIRSTRIP PRAIRIE,3,2008/10/16 00:00:00+00,2008/10/28 00:00:00+00,63,2,3,2
11433,2008,CA,NPS,RWP,152.26687622,1087795.85034299,4921.45789702226,107,COPPER CREEK,3,2008/10/27 00:00:00+00,1008/10/29 00:00:00+00,161,2,3,2
11434,2008,CA,NPS,RWP,7.01871347,50332.920435955,1179.30083984995,104,GANNS PRAIRIE,3,2008/10/01 00:00:00+00,2008/10/03 00:00:00+00,7,2,2,2
11435,2008,CA,NPS,RWP,257.88360596,1842354.25690191,6348.57111582745,100,SCHOOLHOUSE,3,2008/09/23 00:00:00+00,2008/10/03 00:00:00+00,258,2,1,1
11436,2008,CA,NPS,RWP,3.87145877,27668.97232978,671.160287630965,101,STAGE COACH,3,2008/09/24 00:00:00+00,2008/10/03 00:00:00+00,5,2,1,1
